Cluster	GgC4	GgC3	AtC3	AtC4
cluster_2	0.00	0.17	0.02	0.22
cluster_2	-0.01	0.13	-0.10	0.13
cluster_2	0.11	0.10	0.15	0.22
cluster_6	-0.08	0.00	-0.11	0.13
cluster_6	-0.23	-0.06	-0.39	-0.40
cluster_6	0.17	-0.05	-0.22	0.15
cluster_6	0.10	-0.04	-0.02	-0.11
cluster_5	0.05	-0.08	0.18	-0.15
cluster_21	0.09	-0.21	0.06	-0.03
cluster_11	0.02	0.11	-0.05	-0.49
cluster_11	0.01	0.08	0.12	-0.52
cluster_11	-0.36	-0.40	-0.45	0.04
cluster_11	-0.29	-0.30	0.15	-0.06
cluster_11	-0.32	-0.02	-0.09	0.13
cluster_11	-0.47	-0.10	0.07	-0.21
cluster_1	0.06	-0.04	-0.20	-0.49
cluster_33	0.11	0.10	0.00	0.33
cluster_5	0.02	-0.04	0.20	-0.01
cluster_7	-0.16	-0.22	-0.17	0.19
cluster_6	-0.29	-0.05	-0.28	-0.09
cluster_12	-0.15	-0.19	-0.35	-0.08
cluster_5	0.01	0.02	0.22	-0.11
cluster_29	-0.07	-0.02	0.07	-0.08
cluster_13	0.00	-0.21	0.11	-0.06
cluster_13	0.10	-0.33	0.02	0.21
cluster_23	-0.06	-0.07	-0.11	0.09
cluster_1	0.22	0.01	-0.52	-0.40
cluster_6	0.15	0.06	-0.02	-0.16
cluster_5	0.24	-0.11	0.31	0.11
cluster_2	-0.15	-0.12	-0.02	0.10
cluster_1	0.15	0.06	-0.24	-0.30
cluster_14	-0.15	-0.20	-0.14	0.21
cluster_14	-0.13	-0.20	0.01	0.09
cluster_14	-0.28	-0.03	-0.33	0.06
cluster_14	-0.02	-0.09	-0.22	-0.23
cluster_14	0.02	-0.10	-0.22	0.00
cluster_14	-0.01	-0.05	0.13	-0.36
cluster_14	0.05	-0.69	-0.05	0.19
cluster_18	0.01	-0.08	-0.10	-0.05
cluster_18	-0.28	-0.07	0.20	-0.26
cluster_18	-0.04	0.01	-0.09	-0.35
cluster_36	-0.09	-0.29	0.09	-0.31
cluster_15	0.17	-0.54	-0.11	-0.12
cluster_6	0.04	0.11	-0.14	0.03
cluster_2	-0.01	0.08	0.07	0.27
cluster_1	0.16	-0.01	-0.36	-0.41
cluster_2	-0.22	0.01	-0.11	0.37
cluster_2	-0.08	0.10	-0.15	0.20
cluster_2	-0.21	0.06	-0.24	0.21
cluster_1	0.01	-0.09	-0.10	-0.83
cluster_19	-0.35	-0.04	-0.23	0.38
cluster_19	-0.03	0.03	-0.29	0.10
cluster_19	0.03	-0.06	-0.26	0.30
cluster_19	-0.06	0.03	-0.31	0.33
cluster_19	-0.06	0.03	-0.25	0.23
cluster_19	0.03	-0.29	-0.76	0.20
cluster_5	0.13	0.10	0.17	-0.13
cluster_1	-0.03	-0.09	-0.05	-0.19
cluster_1	0.05	0.05	-0.14	-0.43
cluster_1	0.15	-0.01	-0.63	-0.65
cluster_1	0.02	-0.08	-0.13	0.02
cluster_1	0.30	0.05	-0.30	-0.38
cluster_1	0.04	-0.03	-0.30	-0.41
cluster_15	0.34	0.04	0.16	-0.03
cluster_15	0.39	-0.21	0.01	0.09
cluster_15	0.36	0.04	0.06	-0.12
cluster_7	-0.26	-0.27	0.05	0.38
cluster_5	0.02	-0.04	0.29	0.01
cluster_4	-0.20	0.03	0.11	-0.01
cluster_4	-0.09	-0.24	-0.10	0.01
cluster_4	-0.15	0.08	0.10	-0.30
cluster_4	-0.27	0.10	-0.15	-0.15
cluster_4	0.03	-0.07	-0.17	0.01
cluster_4	-0.09	0.06	0.06	0.10
cluster_4	-0.35	-0.02	-0.08	-0.39
cluster_4	0.06	-0.04	-0.13	-0.08
cluster_4	-0.16	0.09	0.11	0.01
cluster_4	-0.06	-0.20	-0.06	0.04
cluster_4	-0.27	-0.10	0.09	0.03
cluster_4	-0.18	0.03	0.03	-0.06
cluster_4	-0.07	0.11	-0.05	-0.28
cluster_4	0.09	-0.09	-0.08	-0.04
cluster_4	-0.32	0.17	0.15	-0.19
cluster_4	-0.09	-0.03	0.16	-0.27
cluster_4	-0.06	0.04	-0.05	-0.41
cluster_4	-0.10	-0.12	-0.21	-0.11
cluster_4	0.02	0.00	0.03	-0.04
cluster_1	0.31	-0.01	-0.61	-0.68
cluster_1	0.12	-0.22	-0.31	-0.42
cluster_1	0.19	0.07	-0.37	-0.30
cluster_1	0.31	-0.01	-0.61	-0.68
cluster_8	-0.08	-0.16	-0.13	-0.37
cluster_8	-0.07	-0.09	-0.19	-0.35
cluster_8	-0.14	-0.12	-0.27	-0.65
cluster_8	-0.22	-0.12	-0.03	-0.15
cluster_8	-0.13	-0.12	-0.19	-0.25
cluster_20	-0.01	0.13	-0.18	-0.03
cluster_20	0.07	0.12	0.06	0.13
cluster_13	0.02	-0.22	0.08	-0.29
cluster_11	-0.18	-0.20	0.21	-0.14
cluster_13	-0.03	-0.27	0.23	0.12
cluster_13	-0.19	-0.24	0.05	-0.02
cluster_13	-0.11	-0.22	0.17	0.08
cluster_13	0.00	-0.26	0.07	-0.13
cluster_9	-0.06	-0.61	-0.16	0.10
cluster_9	-0.05	-0.35	-0.04	-0.48
cluster_9	-0.04	-0.32	-0.33	0.24
cluster_9	-0.09	-0.23	-0.23	-0.04
cluster_9	0.14	-0.12	0.00	0.03
cluster_9	0.07	-0.29	-0.17	0.07
cluster_9	-0.03	-0.27	-0.01	-0.15
cluster_9	-0.07	-0.37	-0.15	-0.49
cluster_9	0.24	-0.05	-0.12	-0.25
cluster_9	-0.20	-0.31	-0.22	-0.16
cluster_9	0.01	-0.30	-0.53	0.22
cluster_9	-0.21	-0.26	-0.24	-0.17
cluster_9	0.02	-0.16	0.03	0.18
cluster_3	0.03	-0.09	-0.36	-0.07
cluster_3	-0.07	-0.13	-0.34	0.05
cluster_3	-0.01	-0.07	-0.35	-0.06
cluster_3	-0.03	-0.13	-0.25	-0.06
cluster_22	0.03	0.00	0.31	0.08
cluster_3	-0.12	-0.11	-0.18	0.03
cluster_22	-0.22	-0.05	0.36	0.09
cluster_22	-0.16	0.20	0.38	0.19
cluster_3	-0.08	-0.10	-0.22	-0.01
cluster_3	-0.03	-0.09	-0.26	-0.06
cluster_22	-0.18	0.12	0.37	0.12
cluster_22	-0.21	-0.01	0.17	-0.01
cluster_22	-0.28	0.14	0.31	-0.04
cluster_22	-0.30	0.19	0.42	0.14
cluster_22	-0.24	-0.11	0.37	-0.32
cluster_27	0.28	-0.17	-0.22	0.08
cluster_12	-0.14	-0.08	-0.39	-0.29
cluster_21	0.13	-0.42	0.06	0.27
cluster_21	0.18	-0.33	-0.06	0.06
cluster_46	-0.30	-0.25	0.09	0.02
cluster_21	0.06	-0.48	-0.14	-0.09
cluster_21	-0.08	-0.33	-0.21	0.21
cluster_21	0.14	-0.30	-0.13	0.22
cluster_6	0.04	0.10	-0.25	0.04
cluster_5	-0.06	-0.17	0.20	0.02
cluster_26	0.02	-0.06	0.18	0.27
cluster_12	0.25	-0.19	-0.46	0.13
cluster_12	-0.21	-0.17	-0.15	0.03
cluster_12	-0.08	-0.08	-0.39	-0.11
cluster_12	0.17	-0.11	-0.43	0.07
cluster_12	0.24	-0.24	-0.17	0.18
cluster_41	0.24	-0.11	-0.37	-0.07
cluster_12	0.25	-0.04	-0.35	0.18
cluster_6	-0.06	0.14	-0.09	0.22
cluster_6	-0.05	0.07	0.00	-0.23
cluster_6	-0.01	0.07	-0.11	-0.24
cluster_10	0.07	0.11	-0.09	0.11
cluster_6	-0.07	0.13	-0.28	0.03
cluster_10	-0.05	0.14	0.02	0.02
cluster_10	-0.06	0.09	-0.19	0.04
cluster_6	-0.07	-0.12	-0.40	-0.41
cluster_6	-0.01	0.02	-0.16	-0.11
cluster_10	-0.05	0.09	-0.06	0.05
cluster_10	-0.02	0.01	-0.23	0.09
cluster_6	0.08	0.07	-0.08	-0.14
cluster_10	0.03	0.10	-0.09	0.13
cluster_6	-0.09	0.03	-0.33	0.04
cluster_6	-0.13	0.07	-0.30	-0.08
cluster_10	-0.04	0.15	-0.07	0.09
cluster_10	0.03	0.17	-0.11	0.18
cluster_6	0.06	0.15	-0.04	0.00
cluster_6	-0.01	0.18	-0.10	0.10
cluster_28	-0.06	-0.06	0.10	0.07
cluster_10	-0.07	0.11	-0.24	0.14
cluster_6	-0.15	0.11	-0.12	0.05
cluster_6	-0.02	0.08	-0.35	-0.12
cluster_10	-0.02	0.09	-0.15	0.04
cluster_10	-0.05	0.13	-0.09	0.06
cluster_6	-0.05	-0.06	-0.28	0.02
cluster_10	0.09	0.07	-0.23	0.16
cluster_6	-0.05	0.03	-0.12	0.01
cluster_10	-0.07	0.17	-0.30	0.12
cluster_2	-0.04	0.10	-0.08	0.05
cluster_10	-0.04	0.13	-0.20	0.00
cluster_10	-0.06	0.11	-0.06	0.14
cluster_10	0.02	0.10	-0.30	-0.02
cluster_6	-0.09	0.05	-0.19	-0.19
cluster_10	0.00	0.09	-0.19	0.01
cluster_6	0.04	0.13	-0.26	-0.01
cluster_10	-0.05	0.09	-0.04	0.26
cluster_6	-0.04	-0.05	-0.54	-0.12
cluster_10	-0.11	0.06	-0.24	-0.14
cluster_10	-0.04	0.12	-0.41	0.09
cluster_10	-0.10	0.16	-0.27	-0.02
cluster_6	0.07	0.05	-0.06	0.12
cluster_6	-0.03	0.04	-0.19	-0.13
cluster_10	-0.09	0.04	-0.22	0.06
cluster_10	0.03	0.09	-0.37	0.17
cluster_10	0.00	0.13	-0.16	0.07
cluster_6	-0.03	0.11	-0.09	0.15
cluster_10	0.01	0.12	-0.07	-0.07
cluster_6	0.06	0.06	-0.28	0.03
cluster_10	0.05	0.20	-0.07	0.16
cluster_8	0.21	0.18	-0.16	0.10
cluster_8	-0.14	-0.11	-0.16	0.03
cluster_7	0.05	-0.10	-0.04	0.04
cluster_8	-0.09	-0.11	-0.10	0.03
cluster_7	0.10	-0.05	-0.22	0.04
cluster_8	-0.13	-0.18	-0.17	0.09
cluster_8	-0.23	-0.06	0.01	0.02
cluster_8	0.35	0.18	-0.03	0.16
cluster_7	0.03	-0.09	-0.18	0.18
cluster_7	0.14	-0.24	-0.21	-0.16
cluster_8	-0.06	-0.11	-0.16	0.13
cluster_8	-0.12	-0.21	-0.14	0.10
cluster_8	-0.08	-0.11	-0.12	0.11
cluster_7	0.08	-0.15	-0.11	0.12
cluster_8	-0.13	-0.15	-0.12	0.16
cluster_1	-0.03	-0.07	-0.17	-0.56
cluster_1	0.15	-0.03	-0.10	-0.27
cluster_1	0.12	0.04	-0.27	-0.47
cluster_1	0.06	-0.20	-0.16	-0.25
cluster_1	0.10	-0.17	-0.17	-0.20
cluster_1	0.07	-0.05	-0.24	-0.15
cluster_1	0.05	-0.05	-0.19	-0.18
cluster_1	0.19	-0.04	-0.18	-0.21
cluster_1	0.14	-0.11	-0.29	-0.18
cluster_1	-0.03	-0.08	-0.06	-0.20
cluster_14	0.03	-0.07	-0.19	-0.22
cluster_14	-0.09	-0.20	-0.12	-0.07
cluster_14	-0.10	-0.16	0.02	-0.08
cluster_4	-0.03	-0.01	0.14	0.08
cluster_4	-0.15	-0.23	-0.10	0.21
cluster_4	-0.12	-0.16	-0.05	0.12
cluster_4	0.07	-0.30	-0.19	0.03
cluster_4	-0.08	-0.21	-0.22	0.05
cluster_4	0.04	-0.09	0.03	-0.06
cluster_4	-0.03	-0.10	-0.02	0.12
cluster_4	0.08	-0.29	-0.18	-0.13
cluster_4	0.11	-0.26	-0.14	0.03
cluster_4	0.06	-0.12	-0.11	0.16
cluster_4	0.11	-0.26	-0.17	-0.04
cluster_4	0.10	-0.37	-0.11	-0.10
cluster_4	0.05	-0.18	-0.05	-0.05
cluster_4	0.11	-0.26	-0.21	0.04
cluster_4	0.02	-0.05	-0.02	0.16
cluster_4	0.06	-0.26	-0.16	-0.04
cluster_4	0.00	-0.22	-0.22	-0.11
cluster_4	0.11	-0.03	0.04	0.28
cluster_4	-0.04	-0.27	-0.12	-0.04
cluster_4	0.17	-0.34	-0.13	0.04
cluster_4	-0.03	-0.21	-0.08	0.08
cluster_4	0.01	-0.26	-0.16	0.07
cluster_4	-0.07	-0.25	-0.19	0.02
cluster_4	0.05	-0.19	-0.22	-0.09
cluster_19	0.00	-0.03	-0.27	0.12
cluster_19	-0.07	0.04	-0.24	0.23
cluster_19	-0.47	0.01	-0.74	-0.48
cluster_11	-0.09	0.01	-0.27	0.02
cluster_11	-0.23	0.04	-0.09	0.13
cluster_11	-0.11	-0.06	-0.20	-0.23
cluster_12	-0.12	-0.12	-0.07	0.10
cluster_12	-0.01	-0.11	0.01	-0.40
cluster_12	0.06	-0.18	0.06	-0.36
cluster_12	-0.15	-0.18	-0.16	-0.41
cluster_12	-0.09	-0.06	0.00	-0.14
cluster_5	0.16	-0.09	0.36	-0.03
cluster_5	0.14	-0.12	0.33	0.07
cluster_5	0.18	0.05	0.35	-0.02
cluster_5	0.21	0.02	0.21	-0.03
cluster_15	0.32	-0.08	0.15	0.17
cluster_15	0.25	-0.26	-0.18	0.23
cluster_5	0.03	0.07	0.27	-0.12
cluster_5	0.16	0.17	0.38	0.06
cluster_5	0.06	-0.01	0.26	-0.21
cluster_5	0.09	0.15	0.37	-0.03
cluster_5	0.27	0.01	0.25	-0.03
cluster_15	0.22	-0.26	-0.19	0.10
cluster_39	-0.17	-0.17	-0.36	-0.26
cluster_5	0.21	0.15	0.34	0.06
cluster_5	0.08	0.07	0.32	-0.12
cluster_15	0.29	-0.26	0.01	0.23
cluster_15	0.24	-0.24	0.11	0.24
cluster_5	0.11	0.19	0.39	0.02
cluster_5	0.05	0.13	0.21	-0.18
cluster_5	0.16	0.16	0.40	0.05
cluster_23	0.11	0.03	0.00	-0.51
cluster_23	-0.06	-0.04	0.09	0.03
cluster_23	0.08	-0.08	0.21	0.31
cluster_23	-0.12	-0.04	0.09	0.18
cluster_23	0.10	0.00	0.15	-0.02
cluster_5	0.01	-0.03	0.14	-0.07
cluster_5	-0.02	-0.03	0.21	-0.07
cluster_5	0.16	0.02	0.27	-0.07
cluster_5	0.02	-0.02	0.24	-0.12
cluster_5	-0.16	-0.07	0.04	-0.26
cluster_5	0.09	-0.16	-0.02	-0.23
cluster_5	0.07	-0.04	0.23	-0.23
cluster_5	0.15	0.01	0.28	0.05
cluster_26	0.19	-0.08	0.19	0.24
cluster_26	0.21	-0.20	0.23	0.20
cluster_40	0.15	-0.12	-0.16	-0.07
cluster_47	-0.21	-0.14	-0.46	-0.20
cluster_12	0.06	-0.24	-0.27	-0.19
cluster_8	-0.17	-0.13	-0.29	-0.28
cluster_8	-0.20	-0.12	-0.19	-0.27
cluster_30	0.14	-0.10	-0.30	-0.23
cluster_8	-0.26	-0.14	-0.06	-0.18
cluster_8	-0.20	-0.12	-0.12	-0.28
cluster_12	0.06	-0.24	-0.27	-0.19
cluster_6	0.01	0.14	-0.21	0.05
cluster_28	-0.37	0.08	-0.04	-0.07
cluster_28	-0.15	-0.10	-0.16	-0.02
cluster_20	0.03	0.05	-0.11	0.19
cluster_20	-0.17	0.02	-0.07	0.12
cluster_25	-0.14	-0.01	0.02	-0.07
cluster_27	0.14	-0.27	-0.50	-0.19
cluster_13	0.26	-0.19	-0.12	-0.55
cluster_13	-0.16	-0.28	0.28	-0.53
cluster_13	0.14	-0.19	-0.12	-0.01
cluster_13	-0.05	-0.23	0.23	0.00
cluster_13	-0.05	-0.18	0.19	0.02
cluster_13	-0.37	-0.35	0.13	-0.12
cluster_13	-0.16	-0.24	0.04	-0.24
cluster_13	-0.09	-0.05	0.29	0.15
cluster_9	0.36	-0.23	-0.14	0.29
cluster_9	-0.24	-0.25	-0.15	-0.49
cluster_9	-0.05	-0.24	-0.24	0.39
cluster_9	-0.02	-0.19	-0.27	0.11
cluster_9	0.14	-0.34	0.02	0.10
cluster_11	-0.10	-0.18	-0.20	0.07
cluster_22	-0.14	0.10	0.31	0.14
cluster_22	-0.24	0.15	0.32	-0.15
cluster_22	-0.17	0.11	0.31	0.10
cluster_22	-0.20	0.20	0.41	0.05
cluster_3	-0.05	-0.11	-0.34	-0.18
cluster_25	0.19	0.39	-0.01	0.01
cluster_25	0.16	0.36	-0.11	-0.01
cluster_25	0.20	0.35	-0.06	-0.12
cluster_30	-0.09	0.00	-0.06	-0.42
cluster_12	0.21	-0.04	-0.35	-0.08
cluster_15	0.30	-0.06	-0.18	0.10
cluster_14	-0.32	-0.11	-0.08	0.02
cluster_11	-0.35	-0.11	-0.15	-0.02
cluster_1	0.19	-0.03	-0.34	-0.09
cluster_5	-0.22	-0.14	-0.58	-0.12
cluster_5	-0.06	-0.22	-0.56	0.02
cluster_11	-0.03	-0.16	0.29	-0.33
cluster_37	-0.03	-0.17	0.02	0.10
cluster_43	-0.02	0.05	0.13	0.19
cluster_25	-0.19	0.15	0.00	-0.11
cluster_5	0.07	-0.05	0.28	-0.13
cluster_6	-0.03	0.11	-0.12	0.10
cluster_5	0.17	0.05	0.16	0.07
cluster_27	-0.01	-0.22	-0.33	0.13
cluster_18	-0.03	-0.29	-0.07	-0.51
cluster_1	0.13	0.02	-0.25	-0.46
cluster_1	0.16	-0.01	-0.40	-0.14
cluster_5	0.16	0.09	0.27	0.00
cluster_17	-0.33	-0.13	0.28	0.08
cluster_26	0.11	0.03	-0.02	0.01
cluster_9	-0.01	-0.01	-0.09	0.16
cluster_17	-0.07	0.01	0.06	-0.36
cluster_13	-0.12	-0.07	0.13	0.07
cluster_13	-0.32	-0.17	0.08	0.14
cluster_13	-0.05	-0.20	0.18	-0.02
cluster_13	-0.30	-0.39	0.10	0.12
cluster_5	0.17	0.17	0.34	0.03
cluster_6	0.19	0.08	-0.11	-0.02
cluster_6	-0.01	0.11	-0.03	-0.21
cluster_2	-0.07	0.09	-0.24	0.15
cluster_5	0.14	0.14	0.36	0.06
cluster_44	0.05	0.01	0.12	-0.28
cluster_17	-0.09	-0.16	0.28	0.03
cluster_18	-0.17	-0.02	-0.06	0.04
cluster_17	-0.51	-0.16	0.38	-0.30
cluster_18	-0.40	-0.22	-0.04	0.00
cluster_17	-0.18	-0.11	0.28	-0.21
cluster_6	-0.03	0.05	-0.20	0.06
cluster_3	-0.02	-0.08	-0.25	-0.06
cluster_22	-0.09	0.11	0.14	0.04
cluster_20	0.08	0.02	-0.19	0.22
cluster_48	-0.21	-0.16	0.02	0.03
cluster_24	-0.22	0.03	-0.37	-0.47
cluster_24	-0.30	-0.06	-0.40	-0.41
cluster_24	-0.09	-0.19	-0.22	0.01
cluster_31	-0.06	-0.13	0.00	-0.14
cluster_31	-0.08	-0.11	-0.16	-0.23
cluster_24	-0.64	0.04	-0.28	-0.06
cluster_6	-0.34	-0.32	-0.04	-0.25
cluster_6	-0.18	0.12	-0.17	-0.02
cluster_31	-0.24	-0.17	-0.11	0.06
cluster_6	0.01	-0.07	-0.06	-0.12
cluster_24	-0.03	0.01	-0.32	-0.24
cluster_24	-0.13	0.02	-0.33	-0.17
cluster_31	-0.14	0.03	0.05	-0.16
cluster_6	-0.14	0.16	-0.14	-0.09
