ID	0hrs	0.5hrs	2hrs	3hrs	4hrs	24hrs	Sp
Cg26075.1	0.08	0.27	0.21	“n/a”	0.13	0.21	Ggy
Cg14577.1	0.08	0.12	0.25	“n/a”	0.18	0.07	Ggy
Cg19667.1	0.03	0.14	0.08	“n/a”	0.08	0.06	Ggy
Cg24134.1	0.08	0.19	0.14	“n/a”	0.06	0.04	Ggy
Cg00864.1	0.26	0.65	0.69	“n/a”	0.46	0.63	Ggy
Cg28760.1	0.21	0.75	0.69	“n/a”	0.36	0.44	Ggy
Cg01000.1	0.05	0.44	0.38	“n/a”	0.2	0.27	Ggy
Cg28597.1	0.01	0.06	0.05	“n/a”	0.01	0.06	Ggy
Cg28102.1	0.81	1.47	1.49	“n/a”	1.49	1.36	Ggy
Cg27925.1	1.01	2.89	1.98	“n/a”	0.94	0.65	Ggy
Cg16916.1	0.94	2.38	2.04	“n/a”	1.23	0.8	Ggy
Cg21492.1	0.14	0.37	0.59	“n/a”	0.37	0.4	Ggy
Cg13984.1	0.19	0.29	0.45	“n/a”	0.41	0.22	Ggy
Cg27224.1	0.33	0.71	0.53	“n/a”	0.34	0.39	Ggy
Cg21096.1	0.17	0.92	0.64	“n/a”	0.34	0.45	Ggy
Cg03659.1	0.03	0.19	0.14	“n/a”	0.07	0.12	Ggy
Cg03891.1	0.01	0.47	0.33	“n/a”	0.17	0.43	Ggy
Cg08751.1	2.02	4.23	6.03	“n/a”	4.25	5.44	Ggy
Cg25986.1	0.92	1.85	1.49	“n/a”	1.04	1.08	Ggy
Cg14896.1	0.66	1.12	1.37	“n/a”	1.06	1.21	Ggy
Cg08456.1	0.45	0.94	0.87	“n/a”	0.82	0.84	Ggy
Cg03039.1	0.18	0.37	0.42	“n/a”	0.4	0.38	Ggy
Cg20374.1	0.12	0.3	0.49	“n/a”	0.49	0.16	Ggy
Cg18236.1	0.13	0.58	0.38	“n/a”	0.42	0.2	Ggy
Cg27240.1	0.13	1.03	1.07	“n/a”	0.45	0.28	Ggy
Cg21496.1	0.05	1.32	2.06	“n/a”	0.65	1.13	Ggy
Cg00555.1	0.08	0.25	0.18	“n/a”	0.15	0.2	Ggy
Cg05268.1	0.21	0.51	0.43	“n/a”	0.46	0.39	Ggy
Cg23506.1	0.26	0.48	0.63	“n/a”	0.4	0.6	Ggy
Cg21609.1	0	0.12	0.11	“n/a”	0.08	0.06	Ggy
Cg07966.1	0.04	0.12	0.07	“n/a”	0.05	0.03	Ggy
Cg00212.1	0.39	3.21	3.38	“n/a”	1.82	4.64	Ggy
Cg21739.1	0.46	1.16	1.06	“n/a”	0.66	1.02	Ggy
Cg15168.1	0.03	0.24	0.07	“n/a”	0.08	0.02	Ggy
Cg11935.1	2.13	23.09	17.63	“n/a”	11.01	8.89	Ggy
Cg25962.1	0.1	0.24	0.15	“n/a”	0.09	0.08	Ggy
Cg03740.1	0.01	0.03	0.02	“n/a”	0.03	0.03	Ggy
Cg04752.1	0.75	1.31	1.26	“n/a”	1.66	0.5	Ggy
Cg12727.1	0.03	0.25	0.16	“n/a”	0.06	0.07	Ggy
Cg01030.1	0	0.03	0.03	“n/a”	0.01	0	Ggy
Cg29493.1	0.01	0.04	0.02	“n/a”	0.01	0.03	Ggy
Cg13274.1	0.23	1.74	1.37	“n/a”	1.02	1.39	Ggy
Cg05351.1	1.74	9.59	6.59	“n/a”	4.4	5.47	Ggy
Cg12493.1	1.04	4.12	3.08	“n/a”	1.77	2.18	Ggy
Cg27079.1	0.73	1.44	1.62	“n/a”	1.13	1.29	Ggy
Cg18931.1	0.36	0.51	0.72	“n/a”	0.49	0.6	Ggy
Cg03709.1	0.02	0.05	0.09	“n/a”	0.04	0.08	Ggy
Cg23318.1	0.01	0.15	0.12	“n/a”	0.07	0.17	Ggy
Cg06765.1	0.01	0.19	0.2	“n/a”	0.07	0.17	Ggy
Cg27419.1	0.49	2.02	1.73	“n/a”	1.54	1.15	Ggy
Cg25035.1	0.08	0.09	0.17	“n/a”	0.15	0.05	Ggy
Cg00639.1	0.63	0.94	0.84	“n/a”	0.92	0.32	Ggy
AT1G06040	0.55	1.99	“n/a”	2.51	“n/a”	2.27	Ath
AT1G07530	0.43	0.43	“n/a”	0.37	“n/a”	0.35	Ath
AT1G27730	0.14	0.19	“n/a”	0.14	“n/a”	0.11	Ath
AT1G46768	0.27	0.25	“n/a”	0.19	“n/a”	0.06	Ath
AT1G77450	0.13	0.36	“n/a”	0.32	“n/a”	0.06	Ath
AT2G39250	0.02	0.12	“n/a”	0.08	“n/a”	0.05	Ath
AT2G46680	0.62	0.68	“n/a”	1.24	“n/a”	0.45	Ath
AT3G02830	0.02	0.05	“n/a”	0.16	“n/a”	0.15	Ath
AT3G15210	0.17	0.35	“n/a”	0.28	“n/a”	0.14	Ath
AT3G19580	0.6	0.79	“n/a”	0.9	“n/a”	0.44	Ath
AT3G47640	0.1	0.11	“n/a”	0.12	“n/a”	0.07	Ath
AT3G54990	0.2	0.39	“n/a”	0.35	“n/a”	0.23	Ath
AT3G57230	0.21	0.18	“n/a”	0.11	“n/a”	0.11	Ath
AT4G18020	0.16	0.24	“n/a”	0.25	“n/a”	0.14	Ath
AT4G27410	0.41	0.71	“n/a”	0.92	“n/a”	0.49	Ath
AT4G34590	0.49	0.45	“n/a”	1.3	“n/a”	0.87	Ath
AT4G36900	0.08	0.08	“n/a”	0.09	“n/a”	0.02	Ath
AT4G36920	0.07	0.07	“n/a”	0.05	“n/a”	0.08	Ath
AT4G36990	6.72	7.26	“n/a”	12.23	“n/a”	8	Ath
AT5G05410	0.33	1.95	“n/a”	1.24	“n/a”	0.24	Ath
AT5G11260	0.15	0.99	“n/a”	0.7	“n/a”	0.39	Ath
AT5G56860	0.12	0.2	“n/a”	0.23	“n/a”	0.2	Ath
AT5G59450	0.12	0.15	“n/a”	0.14	“n/a”	0.09	Ath
AT5G59820	0.31	1.36	“n/a”	1.17	“n/a”	0.33	Ath
AT5G60120	0.16	0.21	“n/a”	0.26	“n/a”	0.22	Ath
AT5G60850	0.46	0.53	“n/a”	0.58	“n/a”	0.51	Ath
