Cluster	0H	0.5H	2H	4H	24H
C21	82.60	258.60	283.8	250.2	118.8
C11	110.40	129.00	98.2	166.4	110.1
C11	111.40	126.20	91.4	173	106.1
C11	78.40	59.00	31.1	54.4	60.9
C11	303.00	273.20	197	232.8	292.8
C11	350.20	283.80	239.3	458.2	335.4
C11	107.60	116.90	83	108	104.8
C1	515.40	709.20	962	537	541.4
C33	62.80	62.60	55.2	58.4	50.6
C5	168.80	86.60	143.9	144.7	182.8
C7	222.60	348.20	294.3	363.5	210.7
C6	414.20	313.70	227	316.5	377.4
C12	69.00	95.00	83	116.1	68.8
C5	265.80	158.60	227	166.4	284.4
C29	50.60	41.90	51.6	40.2	51.6
C13	60.20	118.60	59.6	103.1	66.8
C13	46.90	51.60	35.7	32.8	48.6
C23	117.00	95.00	116.6	111.1	144.7
C1	288.10	362.40	526.6	316.5	359
C6	364.60	206.80	230.4	206.4	359
C5	223.90	100.20	223.9	159.7	219.6
C2	1,940.00	1,940.00	1940	1839.8	1940
C1	294.00	318.40	379.8	280.8	304.8
C14	61.00	59.00	33.4	66.6	56.9
C14	156.80	140.80	98.2	126.4	135.9
C14	62.80	59.00	45.6	72.8	52.8
C14	115.80	138.30	81.8	133.8	110.1
C14	94.80	132.70	63	98.9	97.2
C14	167.60	185.90	132.8	201.7	165
C14	39.60	31.10	22.9	32.8	22.6
C18	64.80	50.80	34.2	60.9	51.6
C18	174.00	119.60	94.8	173	150.8
C18	23.20	25.30	22.9	20.8	20.2
C36	19.00	20.20	16.6	37.8	13.4
C15	109.80	62.60	96.3	66.6	103.5
C6	550.80	410.60	300.4	294.3	462.4
C2	1,310.40	1,411.20	1411.2	1559.4	1310.4
C1	476.00	746.10	772	709.2	515.4
C2	1,465.40	1,543.20	1552.2	1569.1	1484.6
C2	1,683.40	1,768.60	1760.4	1940	1709.8
C2	1,543.20	1,579.20	1615.2	1589.9	1592.2
C1	483.20	515.40	828.6	476	510
C19	147.80	54.40	59.6	45.4	117
C19	138.30	51.60	66.8	72.8	108.1
C19	167.60	91.80	83	72.8	139.4
C19	166.00	88.60	83	72.8	139.4
C19	141.00	73.80	69.8	66.6	110.1
C19	276.60	204.40	154.6	133.8	239.3
C5	374.40	293.40	335.4	274.5	431
C1	152.80	118.60	273.6	82.5	167.8
C1	501.80	620.10	819.8	515.4	535.6
C1	271.40	403.80	501.8	303	340.8
C1	161.80	126.20	278.8	77.2	173.4
C1	492.40	657.00	1151.2	819.8	526.6
C1	252.80	249.10	306.4	150.8	256.4
C15	171.70	121.60	176.5	82.5	172
C15	144.20	103.70	139.2	82.5	156.8
C15	182.80	116.90	137.7	98.9	184.2
C7	204.40	396.00	318.4	506.6	216.6
C5	174.00	80.20	148.5	119.6	180.8
C4	208.40	196.80	178.2	219.9	189.3
C4	101.50	84.70	72	103.1	86.2
C4	173.20	161.30	152.4	183.4	149.6
C4	172.20	206.80	187.6	219.9	160
C4	174.80	161.30	156.6	196.4	159.4
C4	134.30	152.60	152.4	156.8	123.5
C4	145.80	174.00	156.6	178.9	132.8
C4	202.60	189.00	140.9	159.7	152.6
C4	209.80	199.40	176.5	225	200.2
C4	100.40	172.00	116.6	232.8	106.1
C4	152.40	182.80	145	173	128.2
C4	156.80	174.00	152.4	173	138.3
C4	269.00	220.20	205.1	284.4	232.8
C4	130.60	119.60	126.4	133.8	126.3
C4	178.20	161.30	158.6	178.9	139.4
C4	118.40	126.20	135.2	111.1	99.4
C4	166.50	210.00	172.4	228.4	154.4
C4	119.60	129.00	108.2	144.7	107.6
C4	197.00	185.90	181.1	232.8	177.6
C1	431.40	486.60	715.6	537	479.6
C1	273.60	293.40	332.4	188.3	276.6
C1	435.60	535.60	1081	650.9	494.8
C1	431.40	486.60	715.6	537	479.6
C8	83.40	189.00	207.2	133.8	98.6
C8	85.00	144.30	136.4	111.1	75.2
C8	80.20	134.30	126.4	111.1	80.2
C8	127.60	329.60	339	389.4	158.6
C8	123.50	276.00	318.4	166.4	115.8
C20	99.80	258.60	343.4	196.4	129.2
C20	95.20	228.00	324.2	166.4	132.8
C13	103.10	145.80	113.4	154.6	114.5
C11	140.80	225.00	193.8	264.2	176.8
C13	126.20	172.00	145	156.8	155.4
C13	94.00	140.80	156.6	144.7	119.6
C13	121.10	136.20	78.1	77.2	140.9
C13	112.40	167.60	135.2	173	126.3
C9	63.80	48.80	55.2	23.7	52.8
C9	53.30	37.10	38.6	23.7	47.4
C9	119.20	113.00	148.5	48.6	111.1
C9	121.10	100.20	123.5	77.2	122
C9	154.60	199.40	166.5	201.7	136.8
C9	37.80	34.00	35.7	26.4	25.8
C9	89.60	68.60	55.2	82.5	78.1
C9	89.60	77.20	59.6	47.4	86.8
C9	133.40	110.40	74.5	77.2	126.6
C9	122.00	77.20	109.8	58.4	119.6
C9	75.20	59.00	44.4	29.7	56.9
C9	135.80	103.70	119.4	77.2	130.9
C9	37.80	20.20	28	17.8	27.4
C3	47.60	54.40	80.7	86.8	59.8
C3	58.40	81.80	128.5	95	73
C3	45.60	50.80	57	66.6	48.6
C3	51.30	59.00	91.4	89.6	63.5
C22	57.40	83.00	68.7	98.9	53.6
C3	59.40	103.70	158.6	82.5	90.6
C22	56.00	80.20	65	72.8	62.8
C22	48.40	65.00	59.6	50.9	39.8
C3	65.60	103.70	161.3	91.8	89.6
C3	45.00	54.40	59.6	82.5	53.6
C22	43.20	84.70	65	60.9	38.6
C22	30.00	35.40	45.6	37.8	35.4
C22	35.40	59.00	59.6	82.5	30
C22	42.50	59.00	50.7	45.4	36.4
C22	68.20	81.80	59.6	82.5	65.8
C27	325.40	226.40	281.7	126.4	332.4
C12	41.40	81.80	68.7	98.9	43.1
C21	69.00	129.00	107.1	103.1	76.2
C21	61.00	121.60	126.4	116.1	68.4
C46	132.80	126.20	128.5	95	132.8
C21	67.00	113.00	93	86.8	83.4
C21	35.40	71.60	74.5	54.4	42.5
C21	34.20	65.00	78.1	50.9	45.8
C6	252.00	182.80	116.6	241.6	206.4
C5	85.80	41.90	84.6	77.2	91.9
C26	66.20	84.70	111.9	62.8	67.2
C12	29.00	80.20	99.6	54.4	41
C12	56.90	75.60	78.1	119.6	62.3
C12	40.20	86.60	69.8	58.4	41
C12	39.60	77.20	101	62.8	55
C12	24.50	65.00	74.5	50.9	44.7
C41	13.40	35.40	45.6	23.7	25.8
C12	37.80	91.80	96.3	72.8	48.6
C6	1,190.40	1,190.40	986.6	1115.2	1190.4
C6	297.00	167.60	139.2	133.8	252
C6	367.20	213.60	178.2	178.9	323.6
C10	1,252.80	1,227.00	1227	1115.2	1215.2
C6	815.40	535.60	462.4	377.4	828.6
C10	1,845.40	1,854.20	1841.8	1677.8	1841.8
C10	1,420.00	1,384.00	1384	1384	1420
C6	324.20	196.80	143.9	139.4	292.8
C6	382.20	223.60	189.6	206.4	350.2
C10	1,837.80	1,837.80	1845.4	1605.7	1864.8
C10	1,336.40	1,360.20	1360.2	1465.4	1384
C6	462.40	252.40	258.6	156.8	403.8
C10	1,592.20	1,514.30	1509.8	1484.6	1552.2
C6	755.00	462.40	435.6	340.8	737.2
C6	594.40	332.40	350.2	284.4	550.8
C10	1,570.20	1,575.20	1495.8	1579.2	1543.2
C10	1,411.20	1,336.40	1310.4	1411.2	1336.4
C6	1,115.20	903.60	657	510	1142.4
C6	1,081.00	986.60	642.2	880.3	1081
C28	283.80	250.20	220.2	316.5	264.2
C10	1,529.60	1,495.80	1518.8	1524.2	1556.8
C6	1,266.60	1,115.20	1215.2	1115.2	1272.1
C6	789.00	501.80	445.6	363.5	789
C10	1,518.80	1,484.60	1484.6	1509.8	1518.8
C10	1,277.60	1,266.60	1272.1	1259.7	1272.1
C6	409.30	223.60	239.3	188.3	382.2
C10	1,484.60	1,556.80	1556.8	1575.2	1465.4
C6	564.80	362.40	312.8	225	506.6
C10	1,568.00	1,556.80	1562	1227	1575.2
C2	1,864.80	1,864.80	1877.6	1845.4	1845.4
C10	1,575.20	1,548.40	1568	1605.7	1587.6
C10	1,877.60	1,897.00	1897	1760.4	1877.6
C10	986.60	962.00	538.4	737.2	986.6
C6	657.00	386.80	396	255.1	657
C10	1,579.20	1,615.20	1575.2	1543.2	1548.4
C6	642.20	368.90	367.2	274.5	631.8
C10	1,760.40	1,837.80	1781	1696.6	1781
C6	492.40	340.80	252.4	211.4	412.4
C10	1,495.80	1,420.00	1465.4	1310.4	1495.8
C10	1,160.00	1,215.20	815.4	1004.4	1160
C10	1,509.80	1,465.40	1420	1524.2	1509.8
C6	631.80	368.90	355.6	280.8	644.8
C6	828.60	550.80	471.8	410.6	819.8
C10	857.00	722.00	442.4	486.6	857
C10	1,215.20	1,252.80	1151.2	594.4	1252.8
C10	1,360.20	1,310.40	1252.8	1215.2	1360.2
C6	1,142.40	1,142.40	903.6	815.4	1115.2
C10	1,747.60	1,683.40	1709.8	1768.6	1768.6
C6	962.00	828.60	535.6	537	962
C10	1,660.20	1,677.80	1596.2	1636.6	1677.8
C8	60.60	192.60	229.1	108	77.2
C8	86.80	267.40	324.2	274.5	118.8
C7	74.50	167.60	182.8	183.4	92.8
C8	138.30	454.00	418.4	486.6	172.8
C7	112.40	319.60	329.6	294.3	154.4
C8	137.20	431.80	494.8	442.4	207.2
C8	136.20	494.80	490	498.3	205
C8	193.80	1,004.40	1336.4	1259.7	319
C7	76.10	149.40	154.6	183.4	100.2
C7	98.60	223.60	203.6	188.3	116.6
C8	134.30	508.30	483.2	564.8	193.8
C8	165.40	508.30	608.4	986.6	228
C8	129.20	431.00	417	370.6	172
C7	105.60	273.20	329.6	241.6	140.9
C8	159.70	819.80	644.8	722	249.4
C1	354.80	386.80	541.4	417	418.4
C1	267.40	267.40	308.2	225	271.4
C1	126.40	59.00	42.6	66.6	77.2
C1	250.50	204.40	288.2	225	258.6
C1	370.60	355.20	454	344.8	362.4
C1	328.40	362.40	515.4	358.2	396
C1	361.10	415.60	594.4	442.4	442.4
C1	304.80	313.70	431	274.5	325.4
C1	409.30	451.20	631.8	417	451.2
C1	358.20	415.60	510	417	431.8
C14	21.40	20.20	20.2	29.7	19
C14	35.40	32.40	25.8	40.2	30
C14	34.20	28.60	21.4	17.8	33.8
C4	103.70	103.70	96.3	95	86.2
C4	177.60	213.60	211.4	288.1	167.4
C4	102.10	103.70	123.5	139.4	101.6
C4	97.20	129.00	130.9	219.9	102.5
C4	111.40	161.30	123.5	225	108.1
C4	78.40	59.00	59.6	91.8	64.9
C4	92.90	103.70	110.7	150.8	91.4
C4	103.70	98.60	99.6	116.1	94
C4	82.20	113.00	105.6	166.4	82.3
C4	76.10	98.60	99.6	133.8	91.9
C4	99.20	95.00	83	98.9	84.1
C4	84.60	103.70	91.4	126.4	84.1
C4	77.20	50.80	57	86.8	65.8
C4	92.00	95.00	77.2	91.8	73.8
C4	96.30	110.40	123.5	144.7	95.6
C4	69.00	51.60	48	35.4	60.9
C4	111.00	116.90	93	111.1	96.6
C4	175.60	154.80	161.3	133.8	165
C4	91.40	154.80	135.2	211.4	101.6
C4	91.80	110.40	94.8	108	81.2
C4	84.10	84.70	86.8	123.6	86.8
C4	82.20	132.70	116.6	196.4	98.1
C4	74.50	154.80	108.2	201.7	98.1
C4	85.00	103.70	102	154.6	84.7
C19	100.40	39.00	40.2	58.4	82.3
C19	114.00	43.00	48	48.6	94.8
C19	92.90	48.80	35.7	45.4	71.4
C11	294.60	300.40	207.2	331.6	275.4
C11	253.80	283.80	181.1	294.3	235.2
C11	96.30	91.80	66.8	119.6	76.2
C12	24.50	25.30	32.4	32.8	28.6
C12	30.00	37.10	80.7	42.6	43.1
C12	30.00	34.00	61.2	39	33.8
C12	37.80	45.80	110.7	60.9	57.7
C12	33.40	39.00	69.8	47.4	39.8
C5	212.40	86.60	110.7	116.1	189.3
C5	180.80	83.00	86.8	86.8	156.8
C5	184.70	77.20	135.2	144.7	170.2
C5	209.80	156.70	182.8	116.1	209.6
C15	211.50	161.30	211.4	119.6	222.6
C15	94.80	54.40	61.2	48.6	74.5
C5	189.00	126.20	161.3	91.8	187.6
C5	234.60	161.30	211.4	159.7	228
C5	229.80	182.80	216.6	111.1	233.8
C5	223.90	134.30	197	150.8	224
C5	214.80	156.70	178.2	111.1	212.4
C15	90.60	48.80	83	42.6	82.3
C39	158.60	172.00	119.4	178.9	130.9
C5	230.40	144.30	223.9	173	220.8
C5	189.60	152.60	174	123.6	181.6
C15	173.20	140.80	156.6	98.9	177.6
C15	143.00	110.40	143.9	82.5	136.8
C5	226.40	140.80	211.4	159.7	225.4
C5	205.20	179.60	199.4	133.8	214.8
C5	223.90	152.60	216.6	183.4	229.8
C23	71.20	115.30	74.5	89.6	82.3
C23	126.40	158.60	185	139.4	156.6
C23	15.80	22.90	13.4	13.4	16.6
C23	88.00	110.40	137.7	119.6	118.8
