Cluster	0hr	0.5hr	2hr	3hr	4hr	24hr	Set
14	2.24	0.00	5.88		0.00	1.52	GgC4
35	0.00	0.00	11.76		0.00	0.00	GgC4
13	0.00	7.69	5.88		0.00	1.52	GgC4
3	2.99	0.00	0.00		3.23	0.00	GgC4
31	0.00	0.00	0.00		3.23	3.03	GgC4
43	1.49	0.00	0.00		0.00	0.00	GgC4
4	2.24	0.00	5.88		0.00	1.52	GgC4
27	0.75	0.00	5.88		0.00	4.55	GgC4
8	0.00	0.00	0.00		0.00	0.00	GgC4
44	1.49	0.00	0.00		3.23	1.52	GgC4
32	0.75	0.00	11.76		0.00	0.00	GgC4
20	0.75	0.00	0.00		0.00	3.03	GgC4
30	0.00	0.00	0.00		0.00	0.00	GgC4
39	1.49	0.00	0.00		0.00	0.00	GgC4
26	0.00	0.00	5.88		3.23	1.52	GgC4
7	0.75	0.00	0.00		0.00	1.52	GgC4
37	1.49	0.00	5.88		0.00	1.52	GgC4
56	0.00	7.69	0.00		0.00	0.00	GgC4
60	0.00	7.69	5.88		0.00	1.52	GgC4
24	0.00	0.00	0.00		0.00	0.00	GgC4
