Cluster	0.5 hours Up	0.5 hours Down	2 hours Up	2 hours Down	4 hours Up	4 hours Down
cluster_5	-0.15	-0.15	-0.14	-0.14	-0.16	-0.13
cluster_5	0.01	-0.04	-0.01	0.01	0.02	0.00
cluster_5	-0.22	-0.20	-0.21	-0.23	-0.21	-0.18
cluster_5	-0.01	-0.12	-0.08	0.00	0.00	-0.03
cluster_5	-0.06	-0.21	-0.18	-0.07	-0.10	-0.09
cluster_5	-0.04	-0.13	-0.12	-0.05	-0.03	-0.06
cluster_15	-0.12	-0.10	-0.04	-0.09	-0.16	-0.03
cluster_5	0.13	0.01	0.04	0.11	0.11	0.09
cluster_27	0.03	0.08	0.08	0.06	0.05	0.00
cluster_27	-0.07	-0.09	-0.07	-0.06	-0.15	-0.11
cluster_6	-0.04	-0.06	-0.04	-0.04	-0.06	0.00
cluster_3	-0.15	-0.10	-0.03	-0.15	-0.17	-0.14
cluster_7	-0.14	-0.15	-0.13	-0.14	-0.18	-0.13
cluster_7	-0.09	-0.08	-0.06	-0.12	-0.11	-0.09
cluster_2	0.12	0.14	0.11	0.10	0.16	0.11
cluster_2	0.14	0.15	0.13	0.14	0.17	0.13
cluster_7	-0.19	-0.19	-0.17	-0.18	-0.24	-0.18
cluster_6	-0.12	-0.18	-0.12	-0.13	-0.13	-0.11
cluster_2	0.13	0.14	0.13	0.09	0.14	0.13
cluster_6	-0.02	-0.03	0.00	-0.04	-0.07	0.01
cluster_7	-0.23	-0.25	-0.26	-0.24	-0.27	-0.23
cluster_7	-0.13	-0.10	-0.01	-0.12	-0.13	-0.17
cluster_7	-0.25	-0.32	-0.25	-0.24	-0.31	-0.27
cluster_6	-0.02	0.02	0.02	-0.03	-0.05	0.01
cluster_6	-0.01	0.01	0.02	-0.04	-0.02	0.01
cluster_7	-0.23	-0.25	-0.25	-0.28	-0.30	-0.24
cluster_5	0.08	-0.05	-0.03	0.07	0.05	0.07
cluster_7	-0.23	-0.23	-0.22	-0.21	-0.25	-0.19
cluster_12	-0.14	-0.13	-0.15	-0.14	-0.17	-0.14
cluster_2	0.15	0.14	0.13	0.14	0.17	0.14
cluster_2	0.14	0.15	0.14	0.12	0.16	0.15
cluster_2	0.14	0.14	0.13	0.12	0.16	0.15
cluster_6	0.03	0.03	0.03	0.03	0.02	0.05
cluster_6	-0.05	-0.01	-0.01	-0.03	-0.06	-0.01
cluster_2	0.14	0.15	0.14	0.13	0.18	0.14
cluster_2	0.13	0.14	0.13	0.12	0.16	0.13
cluster_2	0.08	0.09	0.07	0.09	0.11	0.10
cluster_10	0.12	0.14	0.11	0.12	0.17	0.12
cluster_2	0.15	0.15	0.13	0.14	0.17	0.14
cluster_2	0.15	0.15	0.13	0.14	0.17	0.14
cluster_2	0.15	0.17	0.15	0.11	0.17	0.14
cluster_2	0.13	0.15	0.13	0.13	0.17	0.13
cluster_2	0.10	0.10	0.09	0.07	0.14	0.10
cluster_6	-0.07	-0.10	-0.10	-0.09	-0.13	-0.08
cluster_6	-0.07	-0.08	-0.07	-0.10	-0.10	-0.06
cluster_6	0.01	0.05	0.07	0.00	-0.01	0.05
cluster_6	-0.08	-0.10	-0.06	-0.08	-0.14	-0.07
cluster_5	-0.04	-0.17	-0.14	0.00	-0.05	-0.03
cluster_21	-0.09	-0.10	-0.09	-0.06	-0.11	-0.07
cluster_11	-0.10	-0.05	-0.08	-0.08	-0.05	-0.17
cluster_11	-0.08	0.00	-0.06	-0.04	-0.01	-0.11
cluster_11	-0.13	-0.04	-0.08	-0.19	-0.11	-0.17
cluster_11	-0.24	-0.27	-0.25	-0.26	-0.24	-0.23
cluster_11	-0.06	0.02	0.00	-0.07	-0.01	-0.09
cluster_11	-0.16	-0.05	-0.15	-0.19	-0.15	-0.18
cluster_1	0.01	0.02	0.02	0.04	0.06	0.01
