Cluster	0.5 hours Up	0.5 hours Down	2 hours Up	2 hours Down	4 hours Up	4 hours Down
cluster_15	-0.08	-0.10	-0.08	-0.09	-0.13	-0.05
cluster_39	-0.11	-0.06	-0.09	-0.10	-0.06	-0.13
cluster_5	0.12	-0.03	0.02	0.09	0.10	0.09
cluster_5	-0.02	-0.08	-0.05	-0.03	-0.04	-0.03
cluster_15	-0.02	-0.01	0.00	-0.05	-0.04	0.00
cluster_15	-0.08	-0.07	-0.08	-0.09	-0.08	-0.06
cluster_5	0.13	0.00	0.04	0.09	0.12	0.08
cluster_5	-0.01	-0.03	-0.03	-0.01	-0.02	-0.04
cluster_5	0.12	-0.01	0.04	0.10	0.11	0.08
cluster_23	-0.04	-0.09	-0.05	-0.08	-0.11	-0.08
cluster_23	-0.04	-0.08	-0.07	-0.07	-0.13	-0.07
cluster_23	-0.07	-0.10	-0.07	-0.09	-0.16	-0.09
cluster_23	-0.06	-0.08	-0.09	-0.08	-0.11	-0.09
cluster_23	-0.04	-0.10	-0.08	-0.07	-0.14	-0.08
cluster_5	-0.17	-0.17	-0.14	-0.17	-0.17	-0.14
cluster_5	-0.17	-0.17	-0.13	-0.15	-0.17	-0.15
cluster_5	0.03	-0.10	-0.07	0.02	0.02	0.01
cluster_5	-0.02	-0.13	-0.09	-0.03	-0.04	-0.03
cluster_5	-0.12	-0.19	-0.17	-0.12	-0.17	-0.13
cluster_5	-0.17	-0.22	-0.19	-0.16	-0.19	-0.16
cluster_5	-0.08	-0.16	-0.15	-0.08	-0.11	-0.09
cluster_5	0.06	-0.06	-0.03	0.05	0.04	0.03
cluster_26	-0.08	-0.08	-0.10	-0.06	-0.15	-0.10
cluster_26	-0.05	-0.04	-0.02	-0.03	-0.09	-0.02
cluster_40	-0.01	-0.06	-0.07	-0.04	-0.06	-0.06
cluster_47	-0.10	-0.13	-0.09	-0.16	-0.19	-0.08
cluster_12	-0.11	-0.09	-0.10	-0.13	-0.13	-0.07
cluster_8	-0.09	-0.08	-0.09	-0.09	-0.11	-0.09
cluster_8	-0.13	-0.10	-0.10	-0.13	-0.12	-0.13
cluster_30	-0.10	-0.07	-0.11	-0.10	-0.11	-0.09
cluster_8	-0.10	-0.08	-0.08	-0.10	-0.08	-0.09
cluster_8	-0.10	-0.09	-0.10	-0.10	-0.10	-0.10
cluster_12	-0.10	-0.06	-0.05	-0.10	-0.12	-0.07
cluster_6	0.04	0.04	0.06	0.04	0.05	0.06
cluster_28	-0.10	-0.14	-0.14	-0.09	-0.21	-0.11
cluster_28	-0.12	-0.16	-0.18	-0.10	-0.21	-0.16
cluster_20	-0.07	-0.06	-0.05	-0.07	-0.10	-0.09
cluster_20	-0.07	-0.08	-0.06	-0.08	-0.11	-0.11
cluster_25	-0.07	-0.05	-0.05	-0.03	-0.08	-0.06
cluster_27	-0.02	0.01	0.06	0.00	0.05	-0.04
cluster_13	-0.15	-0.14	-0.15	-0.14	-0.14	-0.19
cluster_13	-0.19	-0.19	-0.18	-0.20	-0.16	-0.21
cluster_13	-0.12	-0.10	-0.11	-0.12	-0.13	-0.15
cluster_13	-0.03	-0.03	-0.04	-0.02	-0.04	-0.06
cluster_13	-0.05	-0.06	-0.06	-0.04	-0.06	-0.05
cluster_13	-0.02	-0.02	0.00	-0.04	-0.07	-0.02
cluster_13	-0.15	-0.17	-0.14	-0.15	-0.15	-0.15
cluster_13	-0.02	-0.06	-0.05	0.01	-0.08	-0.05
cluster_9	-0.01	-0.05	-0.06	-0.04	-0.08	-0.02
cluster_9	-0.27	-0.25	-0.24	-0.27	-0.30	-0.22
cluster_9	-0.11	-0.16	-0.13	-0.14	-0.20	-0.09
cluster_9	-0.09	-0.11	-0.09	-0.11	-0.12	-0.06
cluster_9	-0.07	-0.14	-0.12	-0.11	-0.12	-0.12
cluster_11	-0.11	-0.06	-0.08	-0.11	-0.07	-0.15
cluster_22	-0.11	-0.13	-0.16	-0.08	-0.11	-0.15
cluster_22	-0.10	-0.14	-0.15	-0.06	-0.12	-0.15
cluster_22	-0.08	-0.11	-0.14	-0.03	-0.13	-0.12
cluster_22	-0.09	-0.11	-0.14	-0.08	-0.10	-0.14
cluster_3	-0.13	-0.08	-0.04	-0.12	-0.15	-0.14
cluster_25	0.31	0.36	0.33	0.34	0.33	0.33
cluster_25	0.29	0.34	0.31	0.32	0.30	0.31
cluster_25	0.28	0.33	0.31	0.30	0.30	0.30
cluster_30	-0.10	-0.03	-0.07	-0.09	-0.11	-0.02
cluster_12	-0.08	-0.14	-0.12	-0.03	-0.14	-0.10
cluster_15	-0.08	-0.04	-0.06	-0.09	-0.09	-0.06
cluster_14	-0.13	-0.16	-0.12	-0.12	-0.21	-0.12
cluster_11	-0.07	-0.11	-0.10	-0.09	-0.16	-0.07
cluster_1	0.02	0.03	-0.02	0.06	0.04	0.00
cluster_5	-0.21	-0.24	-0.24	-0.17	-0.23	-0.21
cluster_5	-0.13	-0.13	-0.07	-0.11	-0.08	-0.09
cluster_11	0.00	0.01	0.00	0.02	-0.02	-0.03
cluster_37	-0.07	-0.06	-0.06	-0.03	-0.07	-0.05
cluster_43	0.05	0.05	0.07	0.04	0.03	0.02
cluster_25	0.03	0.08	0.06	0.07	0.05	0.04
cluster_5	-0.04	-0.07	-0.04	-0.02	-0.04	-0.07
cluster_6	0.10	0.09	0.08	0.07	0.11	0.09
cluster_5	0.06	-0.05	0.02	0.04	0.02	0.03
cluster_27	-0.11	-0.11	-0.10	-0.03	-0.07	-0.14
cluster_18	-0.25	-0.33	-0.29	-0.21	-0.36	-0.31
cluster_1	0.01	0.01	0.04	0.06	0.06	0.02
cluster_1	-0.01	0.00	0.01	0.04	0.02	-0.04
cluster_5	0.09	-0.02	0.04	0.06	0.06	0.07
cluster_17	-0.02	0.01	0.00	-0.03	-0.05	0.02
cluster_26	-0.08	-0.14	-0.12	-0.08	-0.16	-0.08
cluster_9	-0.06	-0.09	-0.11	-0.08	-0.13	-0.07
cluster_17	-0.02	0.02	0.01	-0.01	-0.03	0.01
cluster_13	-0.05	-0.15	-0.09	-0.11	-0.09	-0.05
cluster_13	-0.04	-0.13	-0.07	-0.08	-0.06	-0.02
cluster_13	-0.06	-0.15	-0.09	-0.11	-0.08	-0.06
cluster_13	-0.08	-0.15	-0.10	-0.15	-0.11	-0.08
cluster_5	0.11	-0.01	0.03	0.10	0.10	0.07
cluster_6	-0.02	-0.02	0.01	-0.03	-0.04	0.02
cluster_6	-0.05	-0.07	-0.05	-0.05	-0.08	0.01
cluster_2	0.12	0.14	0.11	0.11	0.15	0.12
cluster_5	0.10	-0.02	0.02	0.07	0.10	0.05
cluster_44	0.11	0.13	0.13	0.12	0.12	0.12
cluster_17	-0.02	0.00	-0.03	-0.05	-0.07	0.01
cluster_18	-0.11	-0.19	-0.13	-0.13	-0.20	-0.16
cluster_17	-0.04	-0.01	0.00	-0.08	-0.10	-0.02
cluster_18	-0.18	-0.16	-0.17	-0.17	-0.20	-0.16
cluster_17	-0.01	0.02	0.02	-0.05	-0.09	0.01
cluster_6	0.05	0.05	0.05	0.04	0.06	0.06
cluster_3	-0.11	-0.06	-0.03	-0.11	-0.13	-0.14
cluster_22	-0.10	-0.12	-0.15	-0.04	-0.15	-0.13
cluster_20	-0.06	-0.08	-0.06	-0.07	-0.12	-0.06
cluster_48	-0.14	-2.81	-0.14	-0.16	-0.20	-0.13
cluster_24	-0.13	-0.14	-0.16	-0.13	-0.16	-0.11
cluster_24	-0.11	-0.14	-0.11	-0.10	-0.12	-0.11
cluster_24	-0.05	-0.08	-0.06	-0.08	-0.08	0.00
cluster_31	-0.13	-0.13	-0.13	-0.12	-0.17	-0.15
cluster_31	-0.03	-0.05	0.00	-0.05	-0.07	-0.03
cluster_24	-0.13	-0.14	-0.15	-0.11	-0.16	-0.13
cluster_6	-0.09	-0.11	-0.10	-0.07	-0.13	-0.06
cluster_6	-0.02	-0.02	0.01	-0.03	-0.05	0.01
cluster_31	-0.04	-0.03	-0.03	-0.05	-0.05	-0.09
cluster_6	-0.07	-0.07	-0.04	-0.09	-0.10	-0.05
cluster_24	-0.12	-0.13	-0.11	-0.09	-0.16	-0.07
cluster_24	-0.10	-0.11	-0.11	-0.08	-0.16	-0.09
cluster_31	-0.08	-0.12	-0.07	-0.08	-0.14	-0.06
cluster_6	-0.01	-0.02	-0.01	-0.02	-0.06	0.00
